"id","publishDate","notificationNumber","currentContractStage","customer.name","customer.inn","OKPD2.code","OKPD2.name","OKEI.code","OKEI.fullName","quantity","sumRUR","supplier.name","supplier.inn","supplier.OKTMO.code","supplier.OKTMO.name","OKEI.name"
"39344887","2018-01-17T14:55:54.333+05:00","0101300031314000114","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 93"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024397",NA,NA,"796","","6300.0","201600.00","ннн""нАЫЕОХР""","0268003140","80745000","ЦНПНД яРЕПКХРЮЛЮЙ","ьРСЙЮ"
"39361025","2018-01-18T08:40:39.745+05:00","0101300031314000114","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 93"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024397",NA,NA,"166","","4000.0","80000.00","нАЫЕЯРБН Я НЦПЮМХВЕММНИ НРБЕРЯРБЕММНЯРЭЧ ""нОРрНПЦоПНДСЙР""","0268061455","80745000","ЦНПНД яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39335739","2018-01-17T11:44:39.360+05:00","0101300031314000114","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 93"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024397",NA,NA,"166","","800.0","52000.00","""нАЫЕОХР""","0268003140","80745000","ЦНПНД яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39361251","2018-01-18T08:41:19.056+05:00","0101300031314000114","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 93"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024397",NA,NA,"166","","800.0","52000.00","""нАЫЕОХР""","0268003140","80745000","ЦНПНД яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39334854","2018-01-17T10:49:46.996+05:00","0101300031314000114","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 93"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024397",NA,NA,"166","","1400.0","221200.00","яРЕПКХРЮЛЮЙЯЙНЕ нюн ""оПНДРНБЮПШ""","0268010010","80745000","ЦНПНД яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39345528","2018-01-17T14:56:21.588+05:00","0101300031314000114","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 93"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024397",NA,NA,"166","","200.0","14400.00","яРЕПКХРЮЛЮЙЯЙНЕ нюн ""оПНДРНБЮПШ""","0268010010","80745000","ЦНПНД яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39346670","2018-01-17T17:51:30.675+05:00","0101300031314000114","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 93"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024397",NA,NA,"796","","9000.0","46800.00","яРЕПКХРЮЛЮЙЯЙНЕ нюн ""оПНДРНБЮПШ""","0268010010","80745000","ЦНПНД яРЕПКХРЮЛЮЙ","ьРСЙЮ"
"39337862","2018-01-17T11:43:38.751+05:00","0101300031314000114","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 93"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024397",NA,NA,"166","","2700.0","113400.00","яРЕПКХРЮЛЮЙЯЙНЕ нюн ""оПНДРНБЮПШ""","0268010010","80745000","ЦНПНД яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39361804","2018-01-18T08:41:54.772+05:00","0101300031314000114","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 93"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024397",NA,NA,"166","","2700.0","113400.00","яРЕПКХРЮЛЮЙЯЙНЕ нюн ""оПНДРНБЮПШ""","0268010010","80745000","ЦНПНД яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39340516","2018-01-17T12:31:48.368+05:00","0101300031314000114","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 93"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024397",NA,NA,"166","","300.0","25500.00","яРЕПКХРЮЛЮЙЯЙНЕ нюн ""оПНДРНБЮПШ""","0268010010","80745000","ЦНПНД яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
